qid	label	description	description_lang	instance_qids	instance_labels	inception	dissolved	active_span	active_centuries	has_coord	coord	has_geoshape	geoshape	wikipedia_url	wikipedia_lang	cliopatria_match	cliopatria_name	cliopatria_n_periods	cliopatria_match_via
Q17	Japan	island country in East Asia	en	Q112099|Q3624078|Q6256	country|island country|sovereign state	1947-05-03T00:00:00Z		(1947-?)	20th	True	Point(136.0 35.0)	True	http://commons.wikimedia.org/data/main/Data:Japan.map	https://en.wikipedia.org/wiki/Japan	en	True	Empire of Japan|Japan	30	wikipedia_title
Q183	Germany	country in Central Europe	en	Q3624078|Q6256	country|sovereign state	1949-05-23T00:00:00Z		(1949-?)	20th	True	Point(10.0 51.0)	True	http://commons.wikimedia.org/data/main/Data:Germany.map	https://en.wikipedia.org/wiki/Germany	en	True	Federated Republic of Germany	2	wikidata
Q184	Belarus	country in Eastern Europe	en	Q123480|Q179164|Q3624078|Q619610|Q6256	country|landlocked country|social state|sovereign state|unitary state	1991-08-25T00:00:00Z|1991-09-19T00:00:00Z		(1991-?)	20th	True	Point(28.046666666 53.528333333)	True	http://commons.wikimedia.org/data/main/Data:Belarus.map	https://en.wikipedia.org/wiki/Belarus	en	True	Republic of Belarus	2	wikidata
Q189	Iceland	Nordic island country in the North Atlantic Ocean	en	Q112099|Q3624078|Q6256	country|island country|sovereign state	1944-06-17T00:00:00Z		(1944-?)	20th	True	Point(-19.0 65.0)	True	http://commons.wikimedia.org/data/main/Data:Iceland.map	https://en.wikipedia.org/wiki/Iceland	en	True	Republic of Iceland	2	wikidata
Q191	Estonia	country in Northern Europe	en	Q179164|Q3624078|Q6256|Q63791824|Q7270	country|country bordering the Baltic Sea|republic|sovereign state|unitary state	1918-02-24T00:00:00Z		(1918-?)	20th	True	Point(26.0 59.0)	True	http://commons.wikimedia.org/data/main/Data:Estonia.map	https://en.wikipedia.org/wiki/Estonia	en	True	Estonia|Republic of Estonia	6	wikidata
Q2	Earth	third planet from the Sun in the Solar System	en	Q3504248	inner planet of the Solar System	-4540000000-01-01T00:00:00Z	http://www.wikidata.org/.well-known/genid/0fd6af797143eec0be1c120968b50da2	(-4540000000-?)	45400000th BCE	False		False		https://en.wikipedia.org/wiki/Earth	en	False			
Q20	Norway	country in Northern Europe	en	Q3624078|Q6256	country|sovereign state	0900-01-01T00:00:00Z|1814-05-17T00:00:00Z|1905-06-07T00:00:00Z|1905-10-26T00:00:00Z		(900-?)	9th	True	Point(10.683333333 59.933333333)	True	http://commons.wikimedia.org/data/main/Data:Norway.map	https://en.wikipedia.org/wiki/Norway	en	True	Kingdom of Norway	9	wikidata
Q21	England	country in north-west Europe, part of the United Kingdom	en	Q3336843|Q518261|Q6256|Q6266	constituent country of the United Kingdom|country|cultural area|nation	0886-01-01T00:00:00Z|0927-07-17T00:00:00Z		(886-?)	9th	True	Point(-1.0 53.0)	True	http://commons.wikimedia.org/data/main/Data:England.map	https://en.wikipedia.org/wiki/England	en	False			
Q211	Latvia	sovereign state in northeastern Europe	en	Q3624078|Q6256|Q63791824	country|country bordering the Baltic Sea|sovereign state	1918-11-18T00:00:00Z		(1918-?)	20th	True	Point(25.0 57.0)	True	http://commons.wikimedia.org/data/main/Data:Latvia.map	https://en.wikipedia.org/wiki/Latvia	en	True	Republic of Latvia	5	wikidata
Q212	Ukraine	country in Eastern Europe	en	Q179164|Q3624078|Q4209223|Q4835091|Q619610|Q6256|Q7270	Rechtsstaat|country|republic|social state|sovereign state|territory|unitary state	1991-08-24T00:00:00Z		(1991-?)	20th	True	Point(32.0 49.0)	True	http://commons.wikimedia.org/data/main/Data:Ukraine.map	https://en.wikipedia.org/wiki/Ukraine	en	True	Sloboda Ukraine|Ukraine	5	wikipedia_title
Q213	Czech Republic	country in Central Europe	en	Q123480|Q127693126|Q3624078|Q6256|Q7270	country|landlocked country|republic|sovereign state|successor state	1993-01-01T00:00:00Z		(1993-?)	20th	True	Point(15.0 50.0)	True	http://commons.wikimedia.org/data/main/Data:Czechia.map	https://en.wikipedia.org/wiki/Czech_Republic	en	True	Czech Republic	3	wikidata
Q214	Slovakia	country in Central Europe	en	Q123480|Q127693126|Q3624078|Q6256|Q7270	country|landlocked country|republic|sovereign state|successor state	1993-01-01T00:00:00Z		(1993-?)	20th	True	Point(19.7 48.7)	True	http://commons.wikimedia.org/data/main/Data:Slovakia.map	https://en.wikipedia.org/wiki/Slovakia	en	True	Czechoslovakia|Slovakia	11	wikipedia_title
Q215	Slovenia	country in Central Europe	en	Q22909549|Q3624078|Q51576574|Q6256	Mediterranean country|country|sovereign state|unitary parliamentary republic	1991-06-25T00:00:00Z		(1991-?)	20th	True	Point(15.0 46.0)	True	http://commons.wikimedia.org/data/main/Data:Slovenia.map	https://en.wikipedia.org/wiki/Slovenia	en	True	Republic of Slovenia	2	wikidata
Q217	Moldova	country in Eastern Europe	en	Q123480|Q179164|Q3624078|Q6256	country|landlocked country|sovereign state|unitary state	1991-08-27T00:00:00Z		(1991-?)	20th	True	Point(28.516667 47.25)	True	http://commons.wikimedia.org/data/main/Data:Moldova.map	https://en.wikipedia.org/wiki/Moldova	en	True	Republic of Moldova	2	wikidata
Q218	Romania	country in Southeast Europe	en	Q3624078|Q6256	country|sovereign state	1859-02-05T00:00:00Z		(1859-?)	19th	True	Point(25.0 46.0)	True	http://commons.wikimedia.org/data/main/Data:Romania.map	https://en.wikipedia.org/wiki/Romania	en	True	Kingdom of Romania|Romania	13	wikipedia_title
Q219	Bulgaria	country in Southeast Europe	en	Q179164|Q3624078|Q6256	country|sovereign state|unitary state	1878-07-13T00:00:00Z		(1878-?)	19th	True	Point(25.5 42.75)	True	http://commons.wikimedia.org/data/main/Data:Bulgaria.map	https://en.wikipedia.org/wiki/Bulgaria	en	True	People's Republic of Bulgaria|Republic of Bulgaria	6	wikipedia_title
Q22	Scotland	country in north-west Europe, part of the United Kingdom	en	Q3336843	constituent country of the United Kingdom	0843-01-01T00:00:00Z		(843-?)	9th	True	Point(-5.0 57.0)	True	http://commons.wikimedia.org/data/main/Data:Scotland.map	https://en.wikipedia.org/wiki/Scotland	en	False			
Q220	Rome	capital and largest city of Italy	en	Q108178728|Q1187811|Q1200957|Q1549591|Q200250|Q3685476|Q51929311|Q747074|Q902814	abolished municipality in Italy|big city|border city|college town|comune of Italy|largest city|metropolis|national capital|tourist destination	-0752-04-13T00:00:00Z		(-752-?)	8th BCE	True	Point(12.482777777 41.893055555)	False		https://en.wikipedia.org/wiki/Rome	en	False			
Q221	North Macedonia	country in southeastern Europe	en	Q123480|Q3624078|Q6256	country|landlocked country|sovereign state	1991-01-01T00:00:00Z		(1991-?)	20th	True	Point(21.716667 41.65)	True	http://commons.wikimedia.org/data/main/Data:Macedonia.map	https://en.wikipedia.org/wiki/North_Macedonia	en	True	Former Yugoslav Republic of Macedonia	3	wikidata
Q222	Albania	country in southeastern Europe	en	Q3624078|Q6256	country|sovereign state	1912-11-28T00:00:00Z		(1912-?)	20th	True	Point(20.0 41.0)	True	http://commons.wikimedia.org/data/main/Data:Albania.map	https://en.wikipedia.org/wiki/Albania	en	True	Albania	9	wikidata
Q224	Croatia	country in Central Europe	en	Q179164|Q3624078|Q51576574|Q6256	Mediterranean country|country|sovereign state|unitary state	1991-06-25T00:00:00Z		(1991-?)	20th	True	Point(15.466667 45.25)	True	http://commons.wikimedia.org/data/main/Data:Croatia.map	https://en.wikipedia.org/wiki/Croatia	en	True	Republic of Croatia	3	wikidata
Q225	Bosnia and Herzegovina	country in Southeast Europe	en	Q1520223|Q3624078|Q51576574|Q6256	Mediterranean country|constitutional republic|country|sovereign state	1992-03-01T00:00:00Z		(1992-?)	20th	True	Point(18.0 44.0)	True	http://commons.wikimedia.org/data/main/Data:Bosnia.map	https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina	en	True	Bosnia and Herzegovina	4	wikidata
Q227	Azerbaijan	country in the Caucasus in Eastern Europe and Western Asia	en	Q3624078|Q6256	country|sovereign state	1991-01-01T00:00:00Z		(1991-?)	20th	True	Point(47.7 40.3)	True	http://commons.wikimedia.org/data/main/Data:Azerbaijan.map	https://en.wikipedia.org/wiki/Azerbaijan	en	True	Azerbaijan Democratic Republic|Republic of Azerbaijan	5	wikidata
Q228	Andorra	sovereign microstate between France and Spain, in Western Europe	en	Q3624078|Q6256	country|sovereign state	1278-01-01T00:00:00Z|1715-01-01T00:00:00Z|1993-01-01T00:00:00Z		(1278-?)	13th	True	Point(1.555277777 42.558333333)	True	http://commons.wikimedia.org/data/main/Data:Andorra.map	https://en.wikipedia.org/wiki/Andorra	en	True	Principality of Andorra	7	wikidata
Q229	Cyprus	country in the Mediterranean Sea	en	Q3624078|Q6256	country|sovereign state	1960-08-16T00:00:00Z		(1960-?)	20th	True	Point(33.0 35.0)	True	http://commons.wikimedia.org/data/main/Data:Cyprus.map	https://en.wikipedia.org/wiki/Cyprus	en	True	Cyprus Condominium|Republic of Cyprus	6	wikidata
Q230	Georgia	country in the Caucasus region of Europe and Asia	en	Q1323642|Q179164|Q236036|Q3624078|Q4209223|Q6256|Q7270	Rechtsstaat|country|republic|republic of the Soviet Union|sovereign state|transcontinental country|unitary state	1991-12-25T00:00:00Z		(1991-?)	20th	True	Point(44.0 42.0)	True	http://commons.wikimedia.org/data/main/Data:Georgia.map	https://en.wikipedia.org/wiki/Georgia_(country)	en	False			
Q232	Kazakhstan	sovereign state in Eastern Europe and Central Asia	en	Q123480|Q1323642|Q179164|Q3624078|Q6256	country|landlocked country|sovereign state|transcontinental country|unitary state	1991-01-01T00:00:00Z		(1991-?)	20th	True	Point(68.0 48.0)	True	http://commons.wikimedia.org/data/main/Data:Kazakhstan.map	https://en.wikipedia.org/wiki/Kazakhstan	en	True	Kazakhstan	4	wikidata
Q233	Malta	country in Southern Europe situated on an archipelago in the Mediterranean Sea	en	Q3624078|Q6256	country|sovereign state	1964-09-21T00:00:00Z		(1964-?)	20th	True	Point(14.5 35.883333333)	True	http://commons.wikimedia.org/data/main/Data:Malta.map	https://en.wikipedia.org/wiki/Malta	en	True	Malta	2	wikidata
Q234	Flanders	ethnic territory of the Flemish people	en	Q3920906	ethnic territory					True	Point(4.5 51.0)	False		https://en.wikipedia.org/wiki/Flanders	en	False			
Q235	Monaco	microstate in Western Europe	en	Q133442|Q179164|Q208500|Q3624078|Q6256|Q902814	border city|city-state|country|principality|sovereign state|unitary state	1297-01-15T00:00:00Z		(1297-?)	13th	True	Point(7.42 43.731111111)	True	http://commons.wikimedia.org/data/main/Data:Monaco/Monaco.map	https://en.wikipedia.org/wiki/Monaco	en	True	Kingdom of Monaco|Principality of Monaco	9	wikidata
Q236	Montenegro	country in southeastern Europe	en	Q127693126|Q3624078|Q51576574|Q6256	Mediterranean country|country|sovereign state|successor state	2006-06-03T00:00:00Z		(2006-?)	21st	True	Point(19.216667 42.766667)	True	http://commons.wikimedia.org/data/main/Data:Montenegro.map	https://en.wikipedia.org/wiki/Montenegro	en	True	Montenegro	8	wikidata
Q237	Vatican City	Holy See's independent state, an enclave within Rome, Italy	en	Q10551526|Q1200957|Q123480|Q127693126|Q133442|Q171441|Q19691007|Q3624078|Q51576574|Q570116|Q6256|Q702492|Q7396640|Q98116669	Mediterranean country|city-state|confessional state|country|enclave|institutional complex|landlocked country|religious complex|sacerdotal state|sovereign state|successor state|tourist attraction|tourist destination|urban area	1929-02-11T00:00:00Z		(1929-?)	20th	True	Point(12.453 41.904)	True	http://commons.wikimedia.org/data/main/Data:Vatican.map	https://en.wikipedia.org/wiki/Vatican_City	en	False			
Q238	San Marino	sovereign state in southern Europe, enclaved within Italy	en	Q123480|Q171441|Q244381|Q3624078|Q51576574|Q6256	Mediterranean country|country|enclave|landlocked country|microstate|sovereign state	0301-09-04T00:00:00Z		(301-?)	4th	True	Point(12.466666666 43.933333333)	True	http://commons.wikimedia.org/data/main/Data:San+Marino.map	https://en.wikipedia.org/wiki/San_Marino	en	True	Republic of San Marino	2	wikidata
Q241	Cuba	sovereign state situated on an island in the Caribbean Sea	en	Q112099|Q179164|Q3624078|Q6256|Q849866	communist state|country|island country|sovereign state|unitary state	1898-12-10T00:00:00Z		(1898-?)	19th	True	Point(-79.5 22.0)	True	http://commons.wikimedia.org/data/main/Data:Cuba.map	https://en.wikipedia.org/wiki/Cuba	en	True	Communist Cuba|Republic of Cuba	6	wikidata
Q242	Belize	sovereign state in Central America	en	Q202686|Q3624078|Q6256	Commonwealth realm|country|sovereign state	1981-09-21T00:00:00Z		(1981-?)	20th	True	Point(-88.7 17.066666666)	True	http://commons.wikimedia.org/data/main/Data:Belize.map	https://en.wikipedia.org/wiki/Belize	en	True	Belize	2	wikidata
Q244	Barbados	island nation in the Caribbean	en	Q112099|Q202686|Q3624078|Q6256	Commonwealth realm|country|island country|sovereign state	1966-11-30T00:00:00Z		(1966-?)	20th	True	Point(-59.5525 13.17)	True	http://commons.wikimedia.org/data/main/Data:Barbados.map	https://en.wikipedia.org/wiki/Barbados	en	True	Barbados	2	wikidata
Q25	Wales	country in north-west Europe, part of the United Kingdom	en	Q3336843	constituent country of the United Kingdom	0500-01-01T00:00:00Z		(500-?)	5th	True	Point(-3.633333333 52.35)	True	http://commons.wikimedia.org/data/main/Data:Wales.map	https://en.wikipedia.org/wiki/Wales	en	False			
Q252	Indonesia	island country in Southeast Asia and Oceania	en	Q112099|Q11815167|Q1520223|Q3624078|Q6256	archipelagic state|constitutional republic|country|island country|sovereign state	1945-08-17T00:00:00Z		(1945-?)	20th	True	Point(118.0 -2.0)	True	http://commons.wikimedia.org/data/main/Data:Indonesia.map	https://en.wikipedia.org/wiki/Indonesia	en	True	Republic of Indonesia	9	wikidata
Q27	Ireland	sovereign state in Northwestern Europe	en	Q112099|Q127693126|Q3624078|Q6256	country|island country|sovereign state|successor state	1937-12-29T00:00:00Z		(1937-?)	20th	True	Point(-8.0 53.0)	True	http://commons.wikimedia.org/data/main/Data:Ireland.map	https://en.wikipedia.org/wiki/Republic_of_Ireland	en	False			
Q28	Hungary	country in Central Europe	en	Q123480|Q127693126|Q3624078|Q6256	country|landlocked country|sovereign state|successor state	1000-01-01T00:00:00Z		(1000-?)	10th	True	Point(19.0 47.0)	True	http://commons.wikimedia.org/data/main/Data:Hungary.map	https://en.wikipedia.org/wiki/Hungary	en	True	Hungarian Republic	7	wikidata
Q29	Spain	country in southwestern Europe with territories in Africa	en	Q1250464|Q179671|Q3624078|Q51576574|Q6256	Mediterranean country|country|nation state|realm|sovereign state	1516-03-24T00:00:00Z|1715-01-01T00:00:00Z|1812-03-19T00:00:00Z|1931-12-09T00:00:00Z|1978-12-29T00:00:00Z		(1516-?)	16th	True	Point(-3.5 40.2)	True	http://commons.wikimedia.org/data/main/Data:Spain.map	https://en.wikipedia.org/wiki/Spain	en	True	Kingdom of Spain	62	wikidata
Q30	United States	country located primarily in North America	en	Q1489259|Q3624078|Q6256	country|sovereign state|superpower	1784-05-12T00:00:00Z		(1784-?)	18th	True	Point(-98.5795 39.828175)	True	http://commons.wikimedia.org/data/main/Data:United+States.map	https://en.wikipedia.org/wiki/United_States	en	True	United States of America	73	wikidata
Q31	Belgium	country in western Europe	en	Q3624078|Q6256	country|sovereign state	1830-10-04T00:00:00Z		(1830-?)	19th	True	Point(4.668055555 50.641111111)	True	http://commons.wikimedia.org/data/main/Data:Belgium.map	https://en.wikipedia.org/wiki/Belgium	en	True	Kingdom of Belgium	17	wikidata
Q32	Luxembourg	country in Western Europe	en	Q123480|Q165116|Q179164|Q3624078|Q6256	country|grand duchy|landlocked country|sovereign state|unitary state	1815-01-01T00:00:00Z		(1815-?)	19th	True	Point(6.13 49.77)	True	http://commons.wikimedia.org/data/main/Data:LuxembourgCountry.map	https://en.wikipedia.org/wiki/Luxembourg	en	True	Duchy of Luxembourg|Luxembourg	13	wikipedia_title
Q33	Finland	country in Northern Europe	en	Q179164|Q3624078|Q6256|Q63791824	country|country bordering the Baltic Sea|sovereign state|unitary state	1917-12-06T00:00:00Z		(1917-?)	20th	True	Point(27.0 65.0)	True	http://commons.wikimedia.org/data/main/Data:Finland.map	https://en.wikipedia.org/wiki/Finland	en	True	Republic of Finland	7	wikidata
Q34	Sweden	country in Northern Europe	en	Q3624078|Q6256	country|sovereign state	0900-01-01T00:00:00Z		(900-?)	9th	True	Point(15.0 61.0)	True	http://commons.wikimedia.org/data/main/Data:Sweden.map	https://en.wikipedia.org/wiki/Sweden	en	True	Kingdom of Sweden	30	wikidata
Q36	Poland	country in Central Europe	en	Q3624078|Q6256	country|sovereign state	1918-11-11T00:00:00Z		(1918-?)	20th	True	Point(19.0 52.0)	True	http://commons.wikimedia.org/data/main/Data:Poland.map	https://en.wikipedia.org/wiki/Poland	en	True	Republic of Poland	5	wikidata
Q37	Lithuania	country in northeastern Europe	en	Q179164|Q3624078|Q6256|Q63791824	country|country bordering the Baltic Sea|sovereign state|unitary state	1990-03-11T00:00:00Z		(1990-?)	20th	True	Point(24.0 55.2)	True	http://commons.wikimedia.org/data/main/Data:Lithuania.map	https://en.wikipedia.org/wiki/Lithuania	en	True	Republic of Lithuania	3	wikidata
Q38	Italy	country in southern Europe	en	Q3624078|Q6256	country|sovereign state	0476-01-01T00:00:00Z|1861-03-17T00:00:00Z|1946-06-18T00:00:00Z		(476-?)	5th	True	Point(12.5 42.5)	True	http://commons.wikimedia.org/data/main/Data:Italia.map	https://en.wikipedia.org/wiki/Italy	en	True	Italian Republic|Republic of Italy	9	wikidata
Q39	Switzerland	country in Central Europe	en	Q123480|Q170156|Q3624078|Q43702|Q6256|Q7275	confederation|country|federation|landlocked country|sovereign state|state	1848-09-12T00:00:00Z		(1848-?)	19th	True	Point(8.231973 46.798562)	True	http://commons.wikimedia.org/data/main/Data:Switzerland.map	https://en.wikipedia.org/wiki/Switzerland	en	True	(Allegiance of Swiss Confederation to Holy Roman Empire)|Swiss Confederation	76	wikidata
Q40	Austria	country in Central Europe	en	Q123480|Q127693126|Q3624078|Q4209223|Q6256	Rechtsstaat|country|landlocked country|sovereign state|successor state	1918-11-12T00:00:00Z		(1918-?)	20th	True	Point(14.0 48.0)	True	http://commons.wikimedia.org/data/main/Data:Austria.map	https://en.wikipedia.org/wiki/Austria	en	True	Republic of Austria	3	wikidata
Q41	Greece	country in Southeast Europe	en	Q3624078|Q6256	country|sovereign state	1821-04-06T00:00:00Z		(1821-?)	19th	True	Point(23.0 38.5)	True	http://commons.wikimedia.org/data/main/Data:Greece.map	https://en.wikipedia.org/wiki/Greece	en	False			
Q43	Turkey	country in West Asia and Southeast Europe	en	Q127693126|Q1323642|Q339834|Q3624078|Q51576574|Q619610|Q6256|Q859563	Mediterranean country|country|regional power|secular state|social state|sovereign state|successor state|transcontinental country	1923-10-29T00:00:00Z		(1923-?)	20th	True	Point(36.0 39.0)	True	http://commons.wikimedia.org/data/main/Data:Turkey.map	https://en.wikipedia.org/wiki/Turkey	en	True	Republic of Turkey	11	wikidata
Q45	Portugal	country in Southwestern Europe	en	Q3624078|Q6256	country|sovereign state	1128-07-01T00:00:00Z|1139-08-01T00:00:00Z|1179-05-30T00:00:00Z		(1128-?)	12th	True	Point(-9.183333333 38.7)	True	http://commons.wikimedia.org/data/main/Data:Portugal.map	https://en.wikipedia.org/wiki/Portugal	en	True	Portuguese Republic	7	wikidata
Q49	North America	continent in the Americas	en	Q2418896|Q5107|Q855697	continent|part of the world|subcontinent					True	Point(-105.0 47.0)	True	http://commons.wikimedia.org/data/main/Data:North+America+Flickr.map	https://en.wikipedia.org/wiki/North_America	en	False			
Q51	Antarctica	terrestrial continent in the Southern Hemisphere	en	Q2221906|Q2418896|Q312461|Q5107|Q82794	continent|geographic location|part of the world|region|terra nullius					True	Point(0.0 -90.0)	True	http://commons.wikimedia.org/data/main/Data:Antarctica.map	https://en.wikipedia.org/wiki/Antarctica	en	False			
Q55	Netherlands	one of the four autonomous countries of the Kingdom of the Netherlands; with territories in the Caribbean	en	Q15304003|Q6256	country|country of the Kingdom of the Netherlands	1795-01-19T00:00:00Z		(1795-?)	18th	True	Point(5.55 52.316666666)	True	http://commons.wikimedia.org/data/main/Data:Nederland.map	https://en.wikipedia.org/wiki/Netherlands	en	True	(Netherlands)|Netherlands	62	wikidata
Q61	Washington, D.C.	capital city of the United States of America	en	Q1093829|Q114496982|Q1549591|Q15840617|Q257391|Q486972	big city|city in the United States|federal capital|human settlement|planned national capital|political city	1790-07-16T00:00:00Z		(1790-?)	18th	True	Point(-77.036666666 38.895)	False		https://en.wikipedia.org/wiki/Washington,_D.C.	en	False			
Q65	Los Angeles	seat of Los Angeles County, and largest city in California, United States	en	Q13218391	charter city	1781-09-04T00:00:00Z		(1781-?)	18th	True	Point(-118.24368 34.05223)	False		https://en.wikipedia.org/wiki/Los_Angeles	en	False			
Q77	Uruguay	country in South America	en	Q1520223|Q3624078|Q6256|Q859563	constitutional republic|country|secular state|sovereign state	1825-08-25T00:00:00Z		(1825-?)	19th	True	Point(-56.0 -33.0)	True	http://commons.wikimedia.org/data/main/Data:Uruguay.map	https://en.wikipedia.org/wiki/Uruguay	en	True	Oriental Republic of Uruguay	4	wikidata
Q79	Egypt	country in Northeast Africa and Southwest Asia	en	Q1323642|Q3624078|Q51576574|Q6256	Mediterranean country|country|sovereign state|transcontinental country	1922-02-28T00:00:00Z		(1922-?)	20th	True	Point(29.0 27.0)	True	http://commons.wikimedia.org/data/main/Data:Egypt.map	https://en.wikipedia.org/wiki/Egypt	en	True	Arab Republic of Egypt|Republic of Egypt	6	wikidata
Q84	London	capital and largest city of England and the United Kingdom	en	Q1066984|Q108178728|Q174844|Q200250|Q208511|Q515|Q51929311	city|financial center|global city|largest city|megacity|metropolis|national capital	0047-01-01T00:00:00Z		(47-?)	1st	True	Point(-0.1275 51.507222222)	False		https://en.wikipedia.org/wiki/London	en	False			
Q87	Alexandria	port city on the Mediterranean coast of Egypt	en	Q148837|Q15284|Q1549591|Q2264924|Q515	big city|city|municipality|polis|port city	-0330-01-01T00:00:00Z		(-330-?)	4th BCE	True	Point(29.8925 31.1975)	False		https://en.wikipedia.org/wiki/Alexandria	en	False			
Q96	Mexico	country in North America	en	Q3624078|Q6256	country|sovereign state	1810-09-16T00:00:00Z		(1810-?)	19th	True	Point(-102.0 23.0)	True	http://commons.wikimedia.org/data/main/Data:Mexico.map	https://en.wikipedia.org/wiki/Mexico	en	True	Centralist Mexico|Mexico	13	wikipedia_title
Q1000124	Gansu Uyghur Kingdom	kingdom established around c.848, by the Uyghur	en	Q417175	kingdom	0848-01-01T00:00:00Z		(848-?)	9th	False		False		https://en.wikipedia.org/wiki/Ganzhou_Uyghur_Kingdom	en	True	Ganzhou Kingdom	7	wikidata
Q100166	Orkney Islands	archipelago, county and council area in northern Scotland	en	Q1350181|Q15060255|Q202435|Q33837|Q6083725|Q67376938|Q7309443	Scottish islands area|archipelago|council area|historic county of the United Kingdom|lieutenancy area of Scotland|registration county|shire of Scotland					True	Point(-3.0 59.0)	True	http://commons.wikimedia.org/data/main/Data:Orkney.map	https://en.wikipedia.org/wiki/Orkney	en	False			
Q1003997	Judaea	province of the Roman Empire (6–135 CE)	en	Q182547	Roman province	0006-01-01T00:00:00Z	0135-01-01T00:00:00Z	(6-135)	1st-2nd	True	Point(34.9 32.5)	False		https://en.wikipedia.org/wiki/Judaea_(Roman_province)	en	False			
Q1004666	Fars Province	province of Iran	en	Q1344695	province of Iran					True	Point(52.531666666 29.625)	True	http://commons.wikimedia.org/data/main/Data:Iran/Fars.map	https://en.wikipedia.org/wiki/Fars_province	en	False			
Q1005907	Earth	planet Earth as depicted in Star Trek	en	Q26728105|Q5327160	Earth in science fiction|class M planet					False		False		https://hu.wikipedia.org/wiki/F%C3%B6ld_(Star_Trek)	hu	False			
Q100594799	Electorate of Hesse	(1803-1807) state elevated by Napoleon in 1803 from the Landgraviate of Hesse-Kassel.	en	Q20521456|Q26830017	electoral principate|state in the Holy Roman Empire	1803-01-01T00:00:00Z	1807-01-01T00:00:00Z	(1803-1807)	19th	False		False				False			
Q100706530	Pali kingdom			Q417175	kingdom					False		False				False			
Q100706574	Khed kingdom			Q417175	kingdom					False		False				False			
Q101254	Newport	city in south east Wales, United Kingdom	en	Q1549591|Q515	big city|city					True	Point(-2.997777777 51.588611111)	False		https://en.wikipedia.org/wiki/Newport,_Wales	en	False			
